Genre,G,NC-17,PG,PG-13,R
Action,0.00573640648556074,0.004826513061580381,0.003153368265879314,0.006893050833586013,0.004655719386160943
Comedy,0.006583464766649508,0.004987910214781608,0.005736852163138933,0.006249361597234024,0.009186750645423769
Drama,0.01911071625369006,0.006428188402960994,0.010831473716203731,0.003900375746976636,0.005583066267884429
Horror,0.004072530632691241,0.003431172793443656,0.0047885377683980395,0.004121893848886058,0.004395751823942322
Romance,0.009308033964088538,0.005035107215907261,0.004324811891470459,0.003794896321117934,0.004809861704402366
Sci-Fi,0.00432743940313265,0.009944968907314606,0.00444449396165714,0.007403231428349672,0.005175845293817547
